trial,df,p_value,correct_answer,user_response,correct
96,10,0.5199826329746914,4,10,FALSE
97,5,0.7264674291761337,5,7,FALSE
98,30,0.08617016728842401,20,6,FALSE
99,10,0.7228920262147571,1,9,FALSE
100,5,0.9127283836951446,8,6,FALSE
101,20,0.5344364248253413,16,8,FALSE
102,5,7.880181522572766e-9,14,1,FALSE
103,30,0.7670617155170051,13,7,FALSE
104,30,0.5883197113577374,10,2,FALSE
105,10,0.5708790568197991,9,1,FALSE
106,30,0.02954287894401988,20,7,FALSE
107,30,0.0501393013676024,11,11,TRUE
108,1,2.109321463889789e-7,10,10,TRUE
109,20,0.4630425146950149,14,9,FALSE
110,20,0.26194161393281257,6,20,FALSE
111,20,0.7077792939234125,8,16,FALSE
112,20,0.03889786988703914,11,5,FALSE
113,20,0.8774467339976519,11,12,FALSE
114,30,0.6962934124230065,17,4,FALSE
115,20,0.13824650681162734,19,4,FALSE
116,10,0.6895483533513465,11,4,FALSE
117,1,3.840044050633297e-5,19,19,TRUE
118,10,0.06543662319295505,16,19,FALSE
119,5,0.02402205324677801,8,8,TRUE
120,30,0.00401730597517751,15,10,FALSE
121,1,9.4045199538097e-12,18,18,TRUE
122,10,0.3551777058492153,18,14,FALSE
123,30,0.7911002730722824,6,4,FALSE
124,30,0.02409526929849502,11,11,TRUE
125,5,0.3522703118870647,3,9,FALSE
126,1,8.136360828805085e-4,6,6,TRUE
127,10,0.5640662141545064,1,16,FALSE
128,5,0.04004226720032897,3,19,FALSE
129,5,0.8965816823334137,18,18,TRUE
130,5,0.0064463744595184,13,3,FALSE
131,5,0.04377340436030855,6,10,FALSE
132,20,0.4216854719209441,19,8,FALSE
133,30,0.5360727244652894,5,1,FALSE
134,30,0.8159590715683286,14,19,FALSE
135,30,0.19161103350047332,12,7,FALSE
136,1,4.355065337439988e-7,11,11,TRUE
137,10,0.4990803188249858,9,1,FALSE
138,30,0.8993876877862328,7,10,FALSE
139,5,0.7194307256296966,20,7,FALSE
140,20,0.32960693746600633,9,10,FALSE
141,1,9.645400074042026e-11,14,14,TRUE
142,5,0.48186378978504385,19,20,FALSE
143,30,0.1413732726924308,5,16,FALSE
144,30,0.7051874246237453,9,16,FALSE
145,10,0.4823888819378135,12,11,FALSE
146,10,0.5726642401799513,12,3,FALSE
147,5,0.8269631632333464,14,19,FALSE
148,1,1.753237110456733e-5,10,3,FALSE
149,10,0.12819625860556577,20,19,FALSE
150,5,9.737948325140228e-4,4,4,TRUE
151,1,2.193137683575332e-4,3,3,TRUE
152,20,0.6447051582313271,16,8,FALSE
153,5,0.5897922291271559,9,10,FALSE
154,20,0.8483496901207128,16,17,FALSE
155,5,0.723320898507986,13,12,FALSE
156,10,0.6085173720312675,5,9,FALSE
157,5,0.082082374691963,6,20,FALSE
158,1,0.1516961870838036,7,7,TRUE
159,1,6.340682248472282e-9,13,13,TRUE
160,10,0.747421645581873,3,7,FALSE
161,20,0.73335194813271,13,6,FALSE
162,20,0.43498914948446565,10,10,TRUE
163,1,7.595504894216145e-6,4,4,TRUE
164,10,0.855370570413874,3,20,FALSE
165,5,0.03230087406386743,5,13,FALSE
166,5,0.37116618520667816,2,17,FALSE
167,20,0.1994353064734324,18,9,FALSE
168,30,0.4626349653546971,17,18,FALSE
169,1,3.33632147641797e-7,19,19,TRUE
170,20,0.8263212582636507,12,7,FALSE
171,30,0.7788890234498321,14,18,FALSE
172,1,0.08888820394370163,6,10,FALSE
173,1,6.021231821410969e-11,7,7,TRUE
174,10,0.01552459318811173,20,14,FALSE
175,10,0.4906991060517717,1,17,FALSE
176,1,4.200197746175086e-7,18,18,TRUE
177,20,0.7840055732795522,3,4,FALSE
178,30,0.5266521224489698,1,20,FALSE
179,1,1.4872963395240075e-6,17,17,TRUE
180,10,0.2652084682729974,9,15,FALSE
181,5,0.626122438815317,12,3,FALSE
182,10,0.9174570963140884,11,18,FALSE
183,5,0.664735376984747,12,10,FALSE
184,1,3.6960856217181334e-10,1,1,TRUE
185,1,2.6431308795212523e-10,17,17,TRUE
186,20,0.11517569659234976,11,15,FALSE
187,20,0.08434358571439793,1,10,FALSE
188,1,9.286931542117637e-9,5,5,TRUE
189,1,5.461124847050864e-11,6,6,TRUE
190,30,0.05326811304304073,9,14,FALSE
191,5,0.00786074785006905,17,8,FALSE
192,10,0.7402662515888561,7,12,FALSE
193,30,0.8399328964497548,10,15,FALSE
194,20,0.18229379254912337,20,14,FALSE
195,20,0.5819216783409118,1,4,FALSE
196,20,0.6744691570296366,3,15,FALSE
197,20,0.6458932557176372,7,14,FALSE
198,20,0.6894465354218897,18,20,FALSE
199,5,0.09773119696190533,1,13,FALSE
200,5,0.00999208237747218,3,6,FALSE
201,20,0.0137824994951272,18,18,TRUE
202,1,4.6987745367813305e-11,8,8,TRUE
203,20,0.3081502298249285,16,4,FALSE
204,1,7.374286774824867e-4,13,13,TRUE
205,5,0.2596042876962692,1,16,FALSE
206,10,0.39271290037134465,17,2,FALSE
207,5,0.00212213616637183,7,7,TRUE
208,30,0.02431749911349507,15,13,FALSE
209,5,0.099978633224453,19,19,TRUE
210,10,0.7943816252866184,17,4,FALSE
211,20,0.8145680807180384,1,10,FALSE
212,5,0.22294811155708297,3,5,FALSE
213,5,0.06751065642625018,11,15,FALSE
214,30,0.34728398887310763,20,1,FALSE
215,5,0.8120770329002787,19,2,FALSE
216,5,0.8214205365066607,20,13,FALSE
217,1,7.913199178621627e-6,15,15,TRUE
218,5,0.09883786346600248,12,10,FALSE
219,20,0.03873327304332399,17,17,TRUE
220,1,4.1209023033451583e-10,17,17,TRUE
221,1,1.0600582995288035e-5,20,20,TRUE
222,10,0.22747683334340055,15,12,FALSE
223,1,3.2645326968313266e-8,17,17,TRUE
224,1,5.657577605808987e-6,19,19,TRUE
225,10,0.04972696821297698,13,13,TRUE
226,20,0.3868923253789204,11,12,FALSE
227,5,0.02384239625393304,10,10,TRUE
228,5,0.08176310645404533,4,16,FALSE
229,10,0.8873886728366371,7,14,FALSE
230,5,0.7558297535751366,12,14,FALSE
231,20,0.8051070621791869,13,18,FALSE
232,30,0.8620536523049783,2,14,FALSE
233,30,0.34876828625193357,17,19,FALSE
234,5,0.32456150980976173,13,18,FALSE
235,30,0.20299643791854924,11,5,FALSE
236,5,0.9134355835325236,19,5,FALSE
237,20,0.785279876102252,6,13,FALSE
238,10,0.8335985208637514,16,5,FALSE
239,20,0.9262954374875182,18,15,FALSE
240,20,0.680059761257751,9,17,FALSE
241,30,0.9998781082202572,18,7,FALSE
242,30,0.18559197171906067,3,3,TRUE
243,10,0.6204369497220279,11,1,FALSE
244,20,0.11736981323464624,3,13,FALSE
245,5,0.8777972586307683,5,7,FALSE
246,5,0.05671031447975507,8,8,TRUE
247,1,3.4406601770375674e-11,14,14,TRUE
248,1,7.134300706075108e-4,14,14,TRUE
249,10,0.7663183895396557,6,15,FALSE
250,10,0.5107755699253163,8,6,FALSE
