trial,mu_star,correct_answer,user_response,correct
203,1.5,8,5,FALSE
204,0,6,16,FALSE
205,0.5,2,14,FALSE
206,1,10,16,FALSE
207,0.5,18,10,FALSE
208,2,19,19,TRUE
209,0.5,14,6,FALSE
210,1,12,12,TRUE
211,1.5,5,4,FALSE
212,0.5,10,9,FALSE
213,0.5,14,20,FALSE
214,2,11,11,TRUE
215,0.5,16,10,FALSE
216,0.5,6,16,FALSE
217,0,18,10,FALSE
218,0.5,8,8,TRUE
219,1.5,17,17,TRUE
220,0,7,10,FALSE
221,0,9,1,FALSE
222,1,2,17,FALSE
223,0,9,16,FALSE
224,0,9,14,FALSE
225,1,13,11,FALSE
226,1.5,10,10,TRUE
227,0.5,8,15,FALSE
228,0.5,19,14,FALSE
229,1,10,19,FALSE
230,0.5,16,16,TRUE
231,1.5,16,16,TRUE
232,2,6,6,TRUE
233,2,1,1,TRUE
234,0.5,17,4,FALSE
235,2,1,1,TRUE
236,0.5,5,11,FALSE
237,1.5,19,19,TRUE
238,1,4,11,FALSE
239,1.5,15,15,TRUE
240,1.5,14,8,FALSE
241,1.5,8,13,FALSE
242,0,13,7,FALSE
243,1.5,8,8,TRUE
244,0,6,16,FALSE
245,0.5,2,20,FALSE
246,1,10,1,FALSE
247,0.5,18,10,FALSE
248,2,19,19,TRUE
249,0.5,14,6,FALSE
250,1,12,12,TRUE

